URL,Unique ID,Primary material,Manufacture method,Image URL,Saved Image
https://finds.org.uk/database/artefacts/record/id/870620,PUBLIC-7822ED,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLIC7822EDRomannummusConstantineIPROVIDENTIAEAVGGcampgateway.jpg,Fotos_monedas\PUBLIC-7822ED.jpg
https://finds.org.uk/database/artefacts/record/id/869713,PUBLIC-0CE40B,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLIC0CE40BRomannummusConstantiusIIGLORIAEXERCITVSTwosoldierstwostandards.jpg,Fotos_monedas\PUBLIC-0CE40B.jpg
https://finds.org.uk/database/artefacts/record/id/869536,PUBLIC-FBB473,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLICFBB473RomannummusHouseofConstantineGLORIAEXERCITVS.jpg,Fotos_monedas\PUBLIC-FBB473.jpg
https://finds.org.uk/database/artefacts/record/id/869486,SUR-F7F14D,Silver,Struck or hammered,https://finds.org.uk/images/smaslin/medium/SURF7F14D.jpg,Fotos_monedas\SUR-F7F14D.jpg
https://finds.org.uk/database/artefacts/record/id/866385,PUBLIC-520B76,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLIC520B76RomanbronzeConstansVICTORIAE.jpg,Fotos_monedas\PUBLIC-520B76.jpg
https://finds.org.uk/database/artefacts/record/id/865978,PUBLIC-27BC3C,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLIC27BC3CRomannummusConstantiusIIPROVIDENTIAECAESS.jpg,Fotos_monedas\PUBLIC-27BC3C.jpg
https://finds.org.uk/database/artefacts/record/id/865813,PUBLIC-144935,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLIC144935RomannummusConstantineIIPROVIDENTIAECAESS.jpg,Fotos_monedas\PUBLIC-144935.jpg
https://finds.org.uk/database/artefacts/record/id/865680,PUBLIC-FF1F77,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLICFF1F77RomanradiateTetricusILAETITIAAVG.JPG,Fotos_monedas\PUBLIC-FF1F77.png
https://finds.org.uk/database/artefacts/record/id/865550,BM-F92DAE,Silver,Struck or hammered,https://finds.org.uk/images/aibrown/medium/pp.jpg,Fotos_monedas\BM-F92DAE.jpg
https://finds.org.uk/database/artefacts/record/id/865293,PUBLIC-AD1D05,Copper alloy,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLICAD1D05ConstantineIBEATATRANQVILLITAS3223ADmmTrier.jpg,Fotos_monedas\PUBLIC-AD1D05.jpg
https://finds.org.uk/database/artefacts/record/id/862096,PUBLIC-D9F7C8,Silver,Struck or hammered,https://finds.org.uk/images/strebor/medium/PUBLICD9F7C8RomanGordianIIIsilverradiateVIRTVSAVG.jpg,Fotos_monedas\PUBLIC-D9F7C8.jpg
https://finds.org.uk/database/artefacts/record/id/857378,BM-F36E3C,Silver,Struck or hammered,https://finds.org.uk/images/aibrown/medium/BMF36E3C.jpg,Fotos_monedas\BM-F36E3C.jpg
https://finds.org.uk/database/artefacts/record/id/857282,BM-E0B679,Silver,Struck or hammered,https://finds.org.uk/images/aibrown/medium/BME0B679.jpg,Fotos_monedas\BM-E0B679.jpg
https://finds.org.uk/database/artefacts/record/id/851196,BM-68AB93,Copper alloy,Cast,https://finds.org.uk/images/aibrown/medium/BM68AB93.jpg,Fotos_monedas\BM-68AB93.jpg
https://finds.org.uk/database/artefacts/record/id/843780,SUR-CDA569,Copper alloy,Struck or hammered,https://finds.org.uk/images/dwilliams/medium/17612.jpg,Fotos_monedas\SUR-CDA569.jpg
https://finds.org.uk/database/artefacts/record/id/843779,SUR-CD9A25,Copper alloy,Struck or hammered,https://finds.org.uk/images/dwilliams/medium/17611.jpg,Fotos_monedas\SUR-CD9A25.jpg
https://finds.org.uk/database/artefacts/record/id/843772,SUR-CD44DB,Silver,Struck or hammered,https://finds.org.uk/images/dwilliams/medium/17604.jpg,Fotos_monedas\SUR-CD44DB.jpg
https://finds.org.uk/database/artefacts/record/id/843771,SUR-CD3C72,Silver,Struck or hammered,https://finds.org.uk/images/dwilliams/medium/17603.jpg,Fotos_monedas\SUR-CD3C72.jpg
